Method,Order,Puzzle_length,Solution_length,Visited_states,Calculated_states,Max_deep,Calculating_time
astr,hamm,1,1,2,3,1,0.068
astr,manh,1,1,2,3,1,0.125
bfs,DRLU,1,1,2,3,1,0.053
bfs,DRUL,1,1,2,3,1,0.05
bfs,LUDR,1,1,4,8,1,0.126
bfs,LURD,1,1,4,8,1,0.131
bfs,RDLU,1,1,2,3,1,0.05
bfs,RDUL,1,1,2,3,1,0.055
bfs,ULDR,1,1,4,8,1,0.126
bfs,ULRD,1,1,4,8,1,0.124
dfs,DRLU,1,1,2,3,1,0.051
dfs,DRUL,1,1,2,3,1,0.051
dfs,LUDR,1,17,152998,153013,20,2252.009
dfs,LURD,1,19,229147,229162,20,3407.368
dfs,RDLU,1,1,2,3,1,0.051
dfs,RDUL,1,1,2,3,1,0.052
dfs,ULDR,1,19,255257,255268,20,3790.774
dfs,ULRD,1,19,152840,152854,20,2299.935
astr,hamm,1,1,2,3,1,0.069
astr,manh,1,1,2,3,1,0.12
bfs,DRLU,1,1,2,3,1,0.05
bfs,DRUL,1,1,2,3,1,0.051
bfs,LUDR,1,1,4,8,1,0.124
bfs,LURD,1,1,4,8,1,0.132
bfs,RDLU,1,1,2,3,1,0.05
bfs,RDUL,1,1,2,3,1,0.05
bfs,ULDR,1,1,4,8,1,0.126
bfs,ULRD,1,1,4,8,1,0.128
dfs,DRLU,1,1,2,3,1,0.051
dfs,DRUL,1,1,2,3,1,0.051
dfs,LUDR,1,19,152840,152854,20,2258.176
dfs,LURD,1,19,255257,255268,20,3785.374
dfs,RDLU,1,1,2,3,1,0.051
dfs,RDUL,1,1,2,3,1,0.051
dfs,ULDR,1,19,229147,229162,20,3331.319
dfs,ULRD,1,17,152998,153013,20,2245.864
astr,hamm,2,2,3,5,2,0.109
astr,manh,2,2,3,5,2,0.195
bfs,DRLU,2,2,5,9,2,0.186
bfs,DRUL,2,2,5,9,2,0.185
bfs,LUDR,2,2,10,22,2,0.363
bfs,LURD,2,2,10,22,2,0.378
bfs,RDLU,2,2,5,9,2,0.188
bfs,RDUL,2,2,5,9,2,0.187
bfs,ULDR,2,2,10,22,2,0.362
bfs,ULRD,2,2,10,22,2,0.356
dfs,DRLU,2,2,3,5,2,0.08
dfs,DRUL,2,2,3,5,2,0.08
dfs,LUDR,2,18,281,296,20,4.426
dfs,LURD,2,20,49065,49081,20,696.365
dfs,RDLU,2,2,3,5,2,0.083
dfs,RDUL,2,2,3,5,2,0.081
dfs,ULDR,2,20,78889,78900,20,1164.784
dfs,ULRD,2,20,47,62,20,0.895
astr,hamm,2,2,3,6,2,0.128
astr,manh,2,2,3,6,2,0.232
bfs,DRLU,2,2,8,17,2,0.296
bfs,DRUL,2,2,8,17,2,0.295
bfs,LUDR,2,2,15,33,2,0.508
bfs,LURD,2,2,13,30,2,0.5
bfs,RDLU,2,2,6,14,2,0.262
bfs,RDUL,2,2,6,14,2,0.268
bfs,ULDR,2,2,15,33,2,0.527
bfs,ULRD,2,2,13,30,2,0.468
dfs,DRLU,2,10,11,22,10,0.365
dfs,DRUL,2,20,21709,21725,20,301.396
dfs,LUDR,2,20,76,93,20,1.338
dfs,LURD,2,20,78871,78888,20,1145.028
dfs,RDLU,2,2,3,6,2,0.097
dfs,RDUL,2,2,3,6,2,0.097
dfs,ULDR,2,20,78874,78890,20,1139.041
dfs,ULRD,2,20,73,91,20,1.273
astr,hamm,2,2,3,6,2,0.127
astr,manh,2,2,3,6,2,0.231
bfs,DRLU,2,2,6,14,2,0.255
bfs,DRUL,2,2,6,14,2,0.258
bfs,LUDR,2,2,13,30,2,0.468
bfs,LURD,2,2,15,33,2,0.511
bfs,RDLU,2,2,8,17,2,0.295
bfs,RDUL,2,2,8,17,2,0.296
bfs,ULDR,2,2,13,30,2,0.47
bfs,ULRD,2,2,15,33,2,0.506
dfs,DRLU,2,2,3,6,2,0.094
dfs,DRUL,2,2,3,6,2,0.095
dfs,LUDR,2,20,73,91,20,1.315
dfs,LURD,2,20,78874,78890,20,1167.285
dfs,RDLU,2,20,21709,21725,20,300.179
dfs,RDUL,2,10,11,22,10,0.376
dfs,ULDR,2,20,78871,78888,20,1141.222
dfs,ULRD,2,20,76,93,20,1.327
astr,hamm,2,2,3,5,2,0.112
astr,manh,2,2,3,5,2,0.197
bfs,DRLU,2,2,5,9,2,0.184
bfs,DRUL,2,2,5,9,2,0.185
bfs,LUDR,2,2,10,22,2,0.362
bfs,LURD,2,2,10,22,2,0.371
bfs,RDLU,2,2,5,9,2,0.188
bfs,RDUL,2,2,5,9,2,0.184
bfs,ULDR,2,2,10,22,2,0.362
bfs,ULRD,2,2,10,22,2,0.365
dfs,DRLU,2,2,3,5,2,0.081
dfs,DRUL,2,2,3,5,2,0.084
dfs,LUDR,2,20,47,62,20,0.896
dfs,LURD,2,20,78889,78900,20,1143.581
dfs,RDLU,2,2,3,5,2,0.082
dfs,RDUL,2,2,3,5,2,0.082
dfs,ULDR,2,20,49065,49081,20,696.773
dfs,ULRD,2,18,281,296,20,4.303
astr,hamm,3,3,4,6,3,0.131
astr,manh,3,3,4,6,3,0.247
bfs,DRLU,3,3,8,16,3,0.284
bfs,DRUL,3,3,8,16,3,0.282
bfs,LUDR,3,3,17,39,3,0.61
bfs,LURD,3,3,17,39,3,0.595
bfs,RDLU,3,3,8,16,3,0.284
bfs,RDUL,3,3,8,16,3,0.306
bfs,ULDR,3,3,17,39,3,0.585
bfs,ULRD,3,3,17,39,3,0.587
dfs,DRLU,3,3,4,6,3,0.096
dfs,DRUL,3,3,4,6,3,0.098
dfs,LUDR,3,19,168044,168054,20,2458.293
dfs,LURD,3,19,84,98,20,1.354
dfs,RDLU,3,3,4,6,3,0.097
dfs,RDUL,3,3,4,6,3,0.099
dfs,ULDR,3,19,168044,168054,20,2487.221
dfs,ULRD,3,19,84,98,20,1.382
